# z D Omega_21 Omega_22
3.319098533424582911e+02 4.080636125311273843e-03 -1.551387522429198640e+00 5.513879320776161608e-01
3.428266812304623841e+02 3.959201643833992063e-03 -1.553110665086683051e+00 5.531111774190873298e-01
3.541014953118450990e+02 3.841570392015261712e-03 -1.554892635631929476e+00 5.548931007386519454e-01
3.657460347214507692e+02 3.727699833247689713e-03 -1.556735180747314873e+00 5.567356787687145481e-01
3.777724235455253279e+02 3.617449133986245288e-03 -1.558640471815892381e+00 5.586410256021988596e-01
3.901931834450982137e+02 3.510652068992616698e-03 -1.560610944699105884e+00 5.606113662288916277e-01
4.030212466933117526e+02 3.407314307711477221e-03 -1.562648254245413426e+00 5.626488348999121314e-01
4.162699696402729614e+02 3.307217453011918658e-03 -1.564755306775871713e+00 5.647558722087124838e-01
4.299531466194464429e+02 3.210293828978292175e-03 -1.566934333363129817e+00 5.669348525733872712e-01
4.440850243100676948e+02 3.116477356117452243e-03 -1.569187570251321162e+00 5.691882168288519006e-01
4.586803165705309198e+02 3.025599200131273009e-03 -1.571518119553532378e+00 5.715186483428885689e-01
4.737542197581951768e+02 2.937640252883541407e-03 -1.573928059922693024e+00 5.739286955076096097e-01
4.893224285515600513e+02 2.852463523260120089e-03 -1.576420509791987667e+00 5.764211897939673923e-01
5.054011522912849159e+02 2.769963897753917499e-03 -1.578998533246631641e+00 5.789990289827939840e-01
5.220071318570626318e+02 2.690131310101398238e-03 -1.581664256007624170e+00 5.816649924743647615e-01
5.391576570979267444e+02 2.612798577073492667e-03 -1.584421669046776726e+00 5.844223279336393517e-01
5.568705848341318188e+02 2.537928874038024307e-03 -1.587273429186686124e+00 5.872740866740999710e-01
5.751643574493554070e+02 2.465447599194001659e-03 -1.590222707462253693e+00 5.902235108042223066e-01
5.940580220925788808e+02 2.395236345329618873e-03 -1.593273569475827323e+00 5.932741226730305906e-01
6.135712505096372524e+02 2.327290590067351839e-03 -1.596428351881385987e+00 5.964291590133441456e-01
6.337243595250906765e+02 2.261483491020703594e-03 -1.599691622239032274e+00 5.996924324612700197e-01
6.545383321957376666e+02 2.197754149476723647e-03 -1.603067039369809432e+00 6.030676537549284344e-01
6.760348396577996937e+02 2.136075171767965169e-03 -1.606557543085045614e+00 6.065584663313196012e-01
6.982362636905198769e+02 2.076327417502018408e-03 -1.610168416578397599e+00 6.101691381855911533e-01
7.211657200196723352e+02 2.018490941532471300e-03 -1.613902703418622187e+00 6.139035340094198823e-01
7.448470823852417197e+02 1.962490647336248301e-03 -1.617764996213531870e+00 6.177659717715411336e-01
7.693050073983349648e+02 1.908243976779675161e-03 -1.621760541531788835e+00 6.217610316004170690e-01
7.945649602132035625e+02 1.855754990643824608e-03 -1.625891712397613764e+00 6.258927291913251034e-01
8.206532410411074352e+02 1.804910173815260860e-03 -1.630165305516218410e+00 6.301662281087679895e-01
8.475970125336243655e+02 1.755677459692924760e-03 -1.634585409776134757e+00 6.345861713237850310e-01
8.754243280639169598e+02 1.708021224154202032e-03 -1.639156190482222053e+00 6.391573286682217248e-01
9.041641609354036291e+02 1.661856809507651850e-03 -1.643884542870203802e+00 6.438852517874291692e-01
9.338464345482441331e+02 1.617175040231730700e-03 -1.648773666989933773e+00 6.487747117591307067e-01
9.645020535550481782e+02 1.573905078088963906e-03 -1.653830328943740824e+00 6.538314758486082345e-01
9.961629360382484037e+02 1.531994553308625327e-03 -1.659060792407685891e+00 6.590613222045945685e-01
1.028862046742635584e+03 1.491437525832861382e-03 -1.664468062669185455e+00 6.644693291395853407e-01
1.062633431397663117e+03 1.452149539680530101e-03 -1.670061281860695690e+00 6.700622607932248398e-01
1.097512252165250857e+03 1.414111890498994653e-03 -1.675844870093878169e+00 6.758458142051944062e-01
1.133534824249999247e+03 1.377286511768382798e-03 -1.681824852187517427e+00 6.818262243079844520e-01
1.170738653709932578e+03 1.341613384516627053e-03 -1.688010052568329922e+00 6.880106031403976363e-01
1.209162476507134215e+03 1.307089933685752839e-03 -1.694403312150770002e+00 6.944046185318384357e-01
1.248846298838938537e+03 1.273652126717100472e-03 -1.701014709376281742e+00 7.010159980708131622e-01
1.289831438791668688e+03 1.241268456077020349e-03 -1.707851161966314590e+00 7.078517799937756871e-01
1.332160569360289628e+03 1.209925702668332523e-03 -1.714916824342062496e+00 7.149183796401435975e-01
1.375877762878766134e+03 1.179563024394960887e-03 -1.722223549862828884e+00 7.222244706860699859e-01
1.421028536907389480e+03 1.150169646597156391e-03 -1.729775614652895088e+00 7.297767863053593596e-01
1.467659901624849454e+03 1.121708569375119658e-03 -1.737581857038837718e+00 7.375834656434927528e-01
1.515820408774388625e+03 1.094137298564674086e-03 -1.745653282304498566e+00 7.456534288578706704e-01
1.565560202215011486e+03 1.067457067106621429e-03 -1.753991403722510389e+00 7.539930269241025274e-01
1.616931070130374337e+03 1.041611743019364798e-03 -1.762611290216712367e+00 7.626126491632685411e-01
1.669986498949713678e+03 1.016583376294889936e-03 -1.771519734141963065e+00 7.715204654098046788e-01
1.724781729036963497e+03 9.923555968011955886e-04 -1.780722622629049345e+00 7.807245038081902511e-01
1.781373812206031516e+03 9.688845413054597002e-04 -1.790234990931033776e+00 7.902356603111855282e-01
1.839821671122129601e+03 9.461644844270144421e-04 -1.800059977899023611e+00 8.000614376815426976e-01
1.900186160650999454e+03 9.241614570047744677e-04 -1.810210623239684180e+00 8.102124494245698250e-01
1.962530131219910572e+03 9.028467335330529926e-04 -1.820699587329759561e+00 8.206993814150361777e-01
2.026918494256397480e+03 8.822194562300684313e-04 -1.831527268943766273e+00 8.315292774486204852e-01
2.093418289772885601e+03 8.622356368899028369e-04 -1.842714267474429457e+00 8.427155736907309125e-01
2.162098756167547435e+03 8.428845411695930949e-04 -1.854266384173578697e+00 8.542672749112955044e-01
2.233031402314086336e+03 8.241491990872874948e-04 -1.866192082148428577e+00 8.661943283188727749e-01
2.306290082015498683e+03 8.059979267983899062e-04 -1.878509930249431692e+00 8.785100620022029405e-01
2.381951070899331171e+03 7.884281074824247421e-04 -1.891220254922411081e+00 8.912220915909542240e-01
2.460093145834501229e+03 7.714097423564678828e-04 -1.904342229301308809e+00 9.043442352144815954e-01
2.540797666952366399e+03 7.549242223151244506e-04 -1.917888812325949877e+00 9.178884774639587407e-01
2.624148662357435114e+03 7.389674385971632415e-04 -1.931860199079739715e+00 9.318626882112557297e-01
2.710232915615928960e+03 7.235071629354848438e-04 -1.946282313262143626e+00 9.462833935367735982e-01
2.799140056113280480e+03 7.085365333555355798e-04 -1.961158654331138118e+00 9.611597914958537325e-01
2.890962652374645131e+03 6.940394591501883835e-04 -1.976501400844653311e+00 9.765040676406200326e-01
2.985796308445597788e+03 6.799929802637868408e-04 -1.992332758305280338e+00 9.923319744820093824e-01
3.083739763433350618e+03 6.663963085120336088e-04 -2.008647651767692999e+00 1.008650004714140236e+00
3.184894994312151994e+03 6.532236970373161890e-04 -2.025473930627773367e+00 1.025476075364729622e+00
3.289367322099885314e+03 6.404632136361983284e-04 -2.042822966094395287e+00 1.042822551656205299e+00
3.397265521516430454e+03 6.281093384539670685e-04 -2.060694684192135195e+00 1.060697801383376104e+00
3.508701934237957630e+03 6.161383674449483986e-04 -2.079120876040948307e+00 1.079121525535763571e+00
3.623792585865072851e+03 6.045459650776578231e-04 -2.098100222081001665e+00 1.098101763449084389e+00
3.742657306726597199e+03 5.933176865557856366e-04 -2.117650022014694766e+00 1.117653210079714743e+00
3.865419856644763513e+03 5.824368191865187273e-04 -2.137795797387460173e+00 1.137793651730235389e+00
3.992208053791733619e+03 5.719035819030422610e-04 -2.158523331894246944e+00 1.158526424903062901e+00
4.123153907771587001e+03 5.616963587530971998e-04 -2.179872267122728413e+00 1.179874539530399780e+00
4.258393757066368380e+03 5.518075668275542649e-04 -2.201849407289184768e+00 1.201849047474983667e+00
4.398068410989272707e+03 5.422313799745253748e-04 -2.224454183056907119e+00 1.224458165290180256e+00
4.542323296292785017e+03 5.329502812821261971e-04 -2.247724413120796960e+00 1.247724434423839179e+00
4.691308608584417925e+03 5.239615621128911526e-04 -2.271650324488992734e+00 1.271652537745783240e+00
4.845179468707689011e+03 5.152527317653365913e-04 -2.296255859716149761e+00 1.296259756486726200e+00
5.004096084251171305e+03 5.068115819649407798e-04 -2.321568776427773262e+00 1.321564869161034439e+00
5.168223916353775166e+03 4.986387565024242132e-04 -2.347560933764077262e+00 1.347565116657125417e+00
5.337733851979916835e+03 4.907164954772782204e-04 -2.374286918736823626e+00 1.374289385047202661e+00
5.512802381843982403e+03 4.830399894373610305e-04 -2.401744773061694982e+00 1.401744728145061680e+00
5.693611784169296698e+03 4.756037226620569384e-04 -2.429932810258344400e+00 1.429938028285039575e+00
5.880350314472951140e+03 4.683946812121781529e-04 -2.458894388152670363e+00 1.458893647403857852e+00
6.073212401574088290e+03 4.614111920832426536e-04 -2.488606327640003446e+00 1.488609631358906338e+00
6.272398850029703681e+03 4.546427456363384819e-04 -2.519100537556738129e+00 1.519105465015426093e+00
6.478117049208768549e+03 4.480807242467924273e-04 -2.550402243314410011e+00 1.550397874214454852e+00
6.690581189222327339e+03 4.417248643783223917e-04 -2.582471364723205820e+00 1.582477153327318975e+00
6.910012483934411648e+03 4.355618363645418585e-04 -2.615372227395638127e+00 1.615375084800102723e+00
7.136639401285966414e+03 4.295882428066319586e-04 -2.649091189514392930e+00 1.649091882811679621e+00
7.370697901171578451e+03 4.237991810561053696e-04 -2.683624086406349196e+00 1.683631084067399142e+00
